clean_text;label_asli;label_prediksi;pola_kesalahan
rapat kan mikir lantik kan hibur sound horeg datengin langsung jawa timur;Netral;Cacimaki/Intoleransi;Netral → Cacimaki/Intoleransi
jir sound horeg bain cok memang tidak waras ni negara mana laku nyetel musik norak berandal;Rasional Negatif;Cacimaki/Intoleransi;Rasional Negatif → Cacimaki/Intoleransi
tidak bisa tidur gara2 sound horeg pawai hari santri lgian hari santri malah nyetel dj an si anjing;Rasional Negatif;Netral;Rasional Negatif → Netral
tlong setel kenceng pk sound horeg depan istana negara;Cacimaki/Intoleransi;Netral;Cacimaki/Intoleransi → Netral
kira orang gelut bidang sound horeg tidak punya kuping indra dengar tp kok mas punya kata tanya fungsi cuma pajang deh kata tanya;Cacimaki/Intoleransi;Rasional Negatif;Cacimaki/Intoleransi → Rasional Negatif
kalau bener sound horeg malu;Cacimaki/Intoleransi;Netral;Cacimaki/Intoleransi → Netral
berani mati kata seru lah orang mau demo besar2an gagal lantik presiden wapres pilih tidak jadi 1001 alas takut sama sound horeg kata tanya;Netral;Cacimaki/Intoleransi;Netral → Cacimaki/Intoleransi
mending bunuh sekarang gede jadi jawir suka sound horeg ijazah palsu ngaku lulus ugm jadi presiden amit amit jabang bayi setan;Cacimaki/Intoleransi;Netral;Cacimaki/Intoleransi → Netral
tidak sound horeg jam 6 pagi;Netral;Rasional Negatif;Netral → Rasional Negatif
bahkan d youtube banyak pro dgn sound horeg indonesia beneran krisis kualitas sdm rusak malah puji puji;Rasional Negatif;Cacimaki/Intoleransi;Rasional Negatif → Cacimaki/Intoleransi
community sih community ganggu orang also stasiun mrt bukan open and public spaces it is enclosed i guess banyak denger sound horeg will ruin the remaining braincells punya;Rasional Negatif;Cacimaki/Intoleransi;Rasional Negatif → Cacimaki/Intoleransi
moga sound horeg segera adaptasi efek keren;Netral;Cacimaki/Intoleransi;Netral → Cacimaki/Intoleransi
otak kebanyakan denger sound horeg makanya gapunya pikir;Cacimaki/Intoleransi;Netral;Cacimaki/Intoleransi → Netral
punya sound horeg;Netral;Cacimaki/Intoleransi;Netral → Cacimaki/Intoleransi
kalau semua usaha siap siap sound horeg masuk wilayah kalian langsung tuntut maksud;Rasional Negatif;Netral;Rasional Negatif → Netral
segala sound horeg nya lagi tai buat kuping pengang langsung bete mau lanjut lari anjing;Rasional Negatif;Cacimaki/Intoleransi;Rasional Negatif → Cacimaki/Intoleransi
capek anjir cuma nonton sound horeg jalan parkir venue baris tinggal 8 truk pp hampir 5k langkah temenin kakak;Rasional Negatif;Netral;Rasional Negatif → Netral
norak bener moga2 cpt laknat tuhan masang sound horeg;Cacimaki/Intoleransi;Netral;Cacimaki/Intoleransi → Netral
asa eropa endak masalah sound horeg orang antem trotoar rebut jalan guru dipenjarain anak2 tawur jalan ormas arogan;Netral;Rasional Negatif;Netral → Rasional Negatif
sorry tidak layan logical fallacy desibel sound horeg orang latih poundfit jelas jauh beda;Rasional Negatif;Netral;Rasional Negatif → Netral
anjing tempelin telinga mentri2 nya si gemoy njr sound horeg;Cacimaki/Intoleransi;Netral;Cacimaki/Intoleransi → Netral
guys kalau daerah belum infeksi sound horeg segera usir masuk daerah serius tidak obat;Rasional Negatif;Netral;Rasional Negatif → Netral
wahhh aku kalau suara berisik dikit deh ngamuk ngamuk kalau tetangga sound horeg begini kek deh kujeglekin tu listrik tetangga;Cacimaki/Intoleransi;Rasional Negatif;Cacimaki/Intoleransi → Rasional Negatif
kok rusuh banget yo dancok kata tanya sumpah aku tidak paham esensi ne sound horeg;Rasional Negatif;Netral;Rasional Negatif → Netral
tidak apa apa kan udah tuli kena sound horeg makanya yandaktawukogtanyasayaaaaaa kata tanya;Cacimaki/Intoleransi;Netral;Cacimaki/Intoleransi → Netral
wkwk buzzer sound horeg kh stress;Cacimaki/Intoleransi;Netral;Cacimaki/Intoleransi → Netral
punya alam buruk dengung sound horeg kata tanya sesat pikir puja sound horeg bela hobi egois ganggu anti kritik kata seru;Rasional Negatif;Cacimaki/Intoleransi;Rasional Negatif → Cacimaki/Intoleransi
kualitas sdm rendah suka ganggu orang tidak punya common sense kira semua orang suka kali kata tanya hidihhh tidak suka sama selera kamu jelek udah selera jelek ganggu orang moga sound horeg jijik segera musnah sama orang2nya aamiin;Cacimaki/Intoleransi;Rasional Negatif;Cacimaki/Intoleransi → Rasional Negatif
wah model baru sound horeg mode menyalaaaaa;Cacimaki/Intoleransi;Netral;Cacimaki/Intoleransi → Netral
jawa timur semenjak pimpin khofifah banyakin aji rakyat tidak urus prguruan silat jawa timur rusuh dijepang 0 reaksi jalan ancur 0 reaksi trend sound horeg bodoh rugi masyarakat 0 reaksi jawa timur makin mundur makin ancur sdmnya;Rasional Negatif;Cacimaki/Intoleransi;Rasional Negatif → Cacimaki/Intoleransi
kamu bela wasit sayang kamu ntr timnas kamu bakal sambut hangat supporter timnas pokok hotel tempat timnas bahrain nginap jam 7 9 serang pakai sound horeg jam 9 1 pesta kembang api depan hotel jam 1 5 balap liar depan hotel;Cacimaki/Intoleransi;Netral;Cacimaki/Intoleransi → Netral
kocak banget anjir;Cacimaki/Intoleransi;Rasional Negatif;Cacimaki/Intoleransi → Rasional Negatif
maap allah kali musibah tp aku bilang alhamdulillah akhir sound horeg bising gagal alam;Cacimaki/Intoleransi;Netral;Cacimaki/Intoleransi → Netral
heran perintah sus jawa timur tidak punya kuat larang giat sound horeg tak manfaat sama sekali pawai sound horeg sangat ganggu jawa timur langsung 24jam bahkan lebih libat anak anak pemuda manula;Rasional Negatif;Cacimaki/Intoleransi;Rasional Negatif → Cacimaki/Intoleransi
nambahin moga dapet tetangga berisik motong keramik sound jj horeg salip emak emak sein kanan kiri jempol kepentok ujung meja;Cacimaki/Intoleransi;Netral;Cacimaki/Intoleransi → Netral
sungguh informasi bagong sering suka dekat dekat sound horeg anak anak efek apa anak anak kata tanya;Rasional Negatif;Netral;Rasional Negatif → Netral
jngankan sound horeg by kt udah bakar bakar ban ngelemparin botol beling tengah jalan megang banner 3x1 dipilok merah oren;Rasional Negatif;Cacimaki/Intoleransi;Rasional Negatif → Cacimaki/Intoleransi
kalau tidak sound horeg karnaval nya tidak jalan kata tanya;Rasional Negatif;Netral;Rasional Negatif → Netral
tantrumnya pasang sound horeg;Cacimaki/Intoleransi;Netral;Cacimaki/Intoleransi → Netral
larang sound horeg lebih banyak rugi jangan warga selesai cara nya ayo buat negeri damai aman sejahtera sampeyan punya jiwa korsa laksana punya nyali;Rasional Negatif;Cacimaki/Intoleransi;Rasional Negatif → Cacimaki/Intoleransi
berapa decibel suara sound horeg kata tanya kompas kata bs 135 decibel bs buat tuli gambar bagi masyrakat coba bawa jakarta jadi tuli kata tanya;Rasional Negatif;Netral;Rasional Negatif → Netral
fck kata seru vibe malang selatan boyong dukuh atas 5 tronton soundsystem jejer gempa lokal dancok kali sepakat sama sound horeg nottinghill carnival dgn arif lokal;Rasional Negatif;Netral;Rasional Negatif → Netral
jauh ibukota takut ketemu sound horeg acara jelek;Cacimaki/Intoleransi;Netral;Cacimaki/Intoleransi → Netral
mati kalau makan kopek gemar sound horeg;Netral;Cacimaki/Intoleransi;Netral → Cacimaki/Intoleransi
toa ukur segitu sound horeg sujud semua;Rasional Negatif;Netral;Rasional Negatif → Netral
kocak banget prindapan land udah banyak maen sound horeg parahh;Cacimaki/Intoleransi;Rasional Negatif;Cacimaki/Intoleransi → Rasional Negatif
kan aku bilang apa sound horeg support ma renta makanya makin jamur;Netral;Cacimaki/Intoleransi;Netral → Cacimaki/Intoleransi
saran anak anak kek kumpulin terus suruh diri depan sound horeg lama minggu;Cacimaki/Intoleransi;Netral;Cacimaki/Intoleransi → Netral
nampolin naro sound horeg depan gedung retweet;Netral;Cacimaki/Intoleransi;Netral → Cacimaki/Intoleransi
pihak perintah tolong cari solusi sound horeg;Rasional Negatif;Netral;Rasional Negatif → Netral
sangat pas sekali bulan puasa banyak jual kembang api sound horeg bangunin sahur;Netral;Cacimaki/Intoleransi;Netral → Cacimaki/Intoleransi
alhamdulillah please damkar kalau panggil buat alas kalau nanganin sound horeg begini;Netral;Rasional Negatif;Netral → Rasional Negatif
kirim rudal pak kim sound horeg;Cacimaki/Intoleransi;Netral;Cacimaki/Intoleransi → Netral
apa bom sound horeg kata tanya;Cacimaki/Intoleransi;Netral;Cacimaki/Intoleransi → Netral
gedang kontaminasi sound horeg tibae;Rasional Negatif;Netral;Rasional Negatif → Netral
dok review pilih sound horeg jadi budaya daerah kab malang tidak tahu gimana tiba bupati sanusi tetap jedag jedug salah satu budaya daerah;Netral;Rasional Negatif;Netral → Rasional Negatif
plsss bjirrr sp muterin sound horeg blkng kantor;Rasional Negatif;Netral;Rasional Negatif → Netral
semalem gara gara liatin interview sound horeg bawa mimpi cok rem banget sumpah please horeg ulah ka pabuaran sieun amuk massa;Cacimaki/Intoleransi;Netral;Cacimaki/Intoleransi → Netral
cari temen baru nder tidak pacar kalau sepi mah join sound horeg rame;Cacimaki/Intoleransi;Netral;Cacimaki/Intoleransi → Netral
gara2 sound horeg kata tanya;Rasional Negatif;Netral;Rasional Negatif → Netral
gedeg kalau acara sound horeg;Cacimaki/Intoleransi;Netral;Cacimaki/Intoleransi → Netral
sini tidak sound horeg knalpot brong2;Netral;Rasional Negatif;Netral → Rasional Negatif
mas nya jelasin enteng banget gimana orang nyewa warga sendiri milik sound mah dapet duid pasar bukti tinggal nglayanin apa minta sih kalau memang warga tolak tidak lanjut dong fenomena horeg;Cacimaki/Intoleransi;Rasional Negatif;Cacimaki/Intoleransi → Rasional Negatif
apa faktor pengaruh popularitas sound horeg kalang generasi muda kata tanya;Rasional Negatif;Netral;Rasional Negatif → Netral
ngilangi sound horeg sis;Cacimaki/Intoleransi;Netral;Cacimaki/Intoleransi → Netral
gimana kalau suka sound horeg barisin satu satu depan soundnya setel paling kenceng biar gendang telinga pecah sekali makin sawer tidak;Cacimaki/Intoleransi;Rasional Negatif;Cacimaki/Intoleransi → Rasional Negatif
serius nanya selenggara nikmat sound horeg punya otak tidak si kata tanya;Cacimaki/Intoleransi;Netral;Cacimaki/Intoleransi → Netral
beranta politik amerika tp rakyat dapet festival indonesia udah negara beranta rakyat cuma dapet sound horeg;Rasional Negatif;Netral;Rasional Negatif → Netral
guedeg aku mbek sound horeg gerebek kuping seng duwe ide gawe hibur siapa seh;Rasional Negatif;Cacimaki/Intoleransi;Rasional Negatif → Cacimaki/Intoleransi
suara adzan suruh dikecilin sound horeg dibesarin sakit jiwa;Cacimaki/Intoleransi;Rasional Negatif;Cacimaki/Intoleransi → Rasional Negatif
capekk banget bziirr kekk gaa liat konsep lagunyaa hahhhh kata tanya kata seru jgn datengin sound horeg tp puter lagu aespa;Rasional Negatif;Netral;Rasional Negatif → Netral
tidak jadi tiktok referensi hidup tidak candu narkoboy tidak candu judi tidak gabung komunitas sound horeg suatu menang kata seru;Cacimaki/Intoleransi;Rasional Negatif;Cacimaki/Intoleransi → Rasional Negatif
turun jawa mikir sama tempat bapak tidak sound horeg sih;Netral;Rasional Negatif;Netral → Rasional Negatif
gaco tamsis kek pakai sound horeg biar tambah brisik;Rasional Negatif;Netral;Rasional Negatif → Netral
saiki urip ning deso tidak sahdu banyak sound horeg sampah masyarat wujud guru silat;Rasional Negatif;Netral;Rasional Negatif → Netral
bagaimana kalau senjata rahasia macam sound horeg kirim pusat hamas gaza iran dekat rumah khamaini biar sana getar bahana dibunyiin dangdut koplo plus plus;Cacimaki/Intoleransi;Netral;Cacimaki/Intoleransi → Netral
penasaran kalau kaca 2 gedung tinggi pecah segitiga emas jakarta masuk instansi perintah pegawai minggu liburin dong love sound horeg;Cacimaki/Intoleransi;Rasional Negatif;Cacimaki/Intoleransi → Rasional Negatif
anjirrr wtf kayak mimpi buruk kalau deket sound horeg;Cacimaki/Intoleransi;Netral;Cacimaki/Intoleransi → Netral
udah mah sound horeg tambah suara 4 manusia talenta;Netral;Cacimaki/Intoleransi;Netral → Cacimaki/Intoleransi
hancurin gmn kata tanya kesel liat laku supporter sound horeg;Cacimaki/Intoleransi;Netral;Cacimaki/Intoleransi → Netral
pernah komen ig lamtur kaya begini malah serang sama puja sound horeg dikatain kamu miskin kalau kamu tau harga sound nya berapa bla bla bla kata teh tidak peduli njir mau mahal apa harga mental habit kalian tetep miskin horeg;Rasional Negatif;Cacimaki/Intoleransi;Rasional Negatif → Cacimaki/Intoleransi
sound horeg gpp asal lagu;Netral;Cacimaki/Intoleransi;Netral → Cacimaki/Intoleransi
guys kayak fakta baru ungkap sedang jadi debat sekitar pulau jawa tembok lin runtuh akibat sound horeg tidak lewat;Netral;Cacimaki/Intoleransi;Netral → Cacimaki/Intoleransi
maju jangan korupsi berantas sound horeg simbol bodoh;Rasional Negatif;Cacimaki/Intoleransi;Rasional Negatif → Cacimaki/Intoleransi
konsep outdoor mirip sound horeg jawa timur selatan;Netral;Cacimaki/Intoleransi;Netral → Cacimaki/Intoleransi
gendang telinga rusak dengar kurang blm asa efek2 keq begini untung sound horeg;Netral;Rasional Negatif;Netral → Rasional Negatif
sound horeg versi lite udah nyampe jakarta astaga kenceng bener kedengeran gym padahal jarak lumayan gymnya lantai 2;Rasional Negatif;Netral;Rasional Negatif → Netral
sound horeg bukti gagal perintah beri ruang publik hibur buka implikasi rendah empati banyak masyarakat kata tanya nyata dua;Rasional Negatif;Netral;Rasional Negatif → Netral
infoin cara nyambungin bluetooth sound horeg plisss mau tin playlistku;Netral;Cacimaki/Intoleransi;Netral → Cacimaki/Intoleransi
mau ngatain lah bang sound horeg kan hina;Cacimaki/Intoleransi;Netral;Cacimaki/Intoleransi → Netral
